Gpnmb	1.25e-19
Cd68	9.04e-18
Ifitm1	1.84e-17
Klra5	4.13e-17
Cd8b	1.32e-16
Plbd1	2.18e-16
Ctsk	3.85e-16
Fcgr2b	3.3e-16
Tyrobp	3.97e-16
Ms4a6a	8.67e-16
Ms4a6b	8.01e-16
Atf3	1.16e-15
LOC681325	1.45e-15
RGD1559482	1.61e-15
Adam33	2.4e-15
Anxa1	2.58e-15
Cfd	2.54e-15
Vim	2.47e-15
Slamf9	5.68e-15
Agpat2	6.7e-15
Sqle	6.89e-15
Hk3	7.57e-15
Dennd2d	8.63e-15
Tm7sf2	9.41e-15
Mdfic	1.08e-14
Emp3	1.25e-14
Ccl3	1.38e-14
LOC498276	1.44e-14
Tax1bp3	1.53e-14
Fermt3	1.7e-14
Icam1	1.94e-14
Cyba	2.4e-14
Arl11	2.55e-14
Hck	2.58e-14
C1qa	2.8e-14
Apobec1	3.23e-14
Tnfrsf1a	3.22e-14
Laptm5	3.39e-14
S100a6	3.66e-14
Grn	3.93e-14
Glipr1	4.09e-14
Cytip	5.17e-14
Dok3	5.28e-14
Ccl4	6.19e-14
C2	7.32e-14
Tmem176b	7.8e-14
Timp1	8.32e-14
MGC105649	9.6e-14
Esm1	1.03e-13
Lhfpl2	1.09e-13
Plcb2	1.25e-13
Mafb	1.36e-13
Cd300le	1.55e-13
Tnfrsf1b	1.89e-13
Cebpd	2.01e-13
RGD1561594	2.01e-13
Aacs	2.2e-13
Col1a2	2.26e-13
Siglec1	2.32e-13
Tcirg1	2.31e-13
Ptprc	2.39e-13
Ch25h	2.57e-13
Plaur	2.56e-13
Col6a1	2.78e-13
Gcnt1	3.1e-13
Fcer1g	4.09e-13
St14	4.05e-13
Col3a1	4.34e-13
Ripk3	4.49e-13
Ctsc	4.66e-13
Vav1	4.6e-13
Dpp7	4.88e-13
Gas2l3	4.95e-13
RGD1305807	5.32e-13
Ctsd	5.54e-13
Trem2	5.88e-13
Asgr2	6.15e-13
Tmem176a	6.11e-13
Skap2	6.3e-13
Crym	6.45e-13
Slc15a3	6.64e-13
Ctsb	6.77e-13
Cd8a	6.95e-13
Clcf1	7.25e-13
Egr2	7.24e-13
Mcoln3	7.5e-13
Stk10	8.08e-13
Dnajc22	8.19e-13
Ly96	9.08e-13
Ctsh	9.34e-13
Ahnak	9.74e-13
Mt2A	9.75e-13
Vnn1	9.64e-13
Ctsz	1.03e-12
Fcgr2a	1.04e-12
Fxyd2	1.01e-12
Rab32	1.04e-12
Gpx3	1.1e-12
Clic1	1.12e-12
Cmtm3	1.24e-12
Cd200r1	1.32e-12
Usp31	1.32e-12
Idi1	1.37e-12
Kcnn4	1.44e-12
Rbp1	1.45e-12
Wtip	1.47e-12
Cd63	1.51e-12
Slitrk6	1.6e-12
Dapp1	1.66e-12
Aldh1l2	1.69e-12
Aldh2	1.75e-12
Cd1d1	1.77e-12
Rgs18	1.86e-12
Smpdl3a	2.05e-12
Rnaset2	2.13e-12
Loxl1	2.21e-12
Ly49s7	2.22e-12
Irf5	2.4e-12
Myo1g	2.39e-12
Fhod1	2.48e-12
Lilrb4	2.49e-12
A2m	2.75e-12
Eya2	2.82e-12
Junb	3.00E-12
Cybb	3.04e-12
Matn2	3.08e-12
Mvd	3.1e-12
Myo7a	3.12e-12
Ms4a4a	3.18e-12
Anxa5	3.21e-12
Cp	3.34e-12
Rhod	3.55e-12
Batf	3.64e-12
Stat3	3.61e-12
Tmem106a	3.63e-12
Pi16	3.83e-12
Pltp	4.1e-12
Adamtsl3	4.38e-12
Pros1	4.37e-12
Col6a3	4.5e-12
Lrrn4cl	4.54e-12
Prkcd	4.52e-12
Timp2	4.63e-12
Anpep	4.81e-12
B4galt1	4.96e-12
Cd109	4.96e-12
