"Gene"	"logFC"	"CI.L"	"CI.R"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"se.coef"
"Gpnmb"	6.02	5.759	6.281	15.754	48.745	1.25e-19	1.88e-15	0.062
"Cd68"	6.453	6.092	6.814	14.629	37.756	9.04e-18	6.79e-14	0.236
"Ifitm1"	6.888	6.487	7.29	14.007	36.184	1.84e-17	9.22e-14	0.091
"Klra5"	7.551	7.089	8.013	11.644	34.475	4.13e-17	1.55e-13	0.185
"Cd8b"	5.572	5.206	5.938	10.749	32.154	1.32e-16	3.97e-13	0.358
"Plbd1"	7.068	6.59	7.546	11.089	31.2	2.18e-16	5.46e-13	0.437
"Ctsk"	5.009	4.658	5.36	13.612	30.147	3.85e-16	6.62e-13	0.114
"Fcgr2b"	2.752	2.561	2.943	14.384	30.432	3.3e-16	6.62e-13	0.489
"Tyrobp"	2.365	2.199	2.531	12.389	30.096	3.97e-16	6.62e-13	0.091
"Ms4a6a"	4.728	4.381	5.076	10.82	28.71	8.67e-16	1.18e-12	0.222
"Ms4a6b"	4.327	4.011	4.644	13.59	28.848	8.01e-16	1.18e-12	0.124
"Atf3"	4.082	3.776	4.387	12.416	28.21	1.16e-15	1.45e-12	0.391
"LOC681325"	6.52	6.026	7.015	7.681	27.828	1.45e-15	1.68e-12	0.312
"RGD1559482"	6.493	5.997	6.989	13.338	27.656	1.61e-15	1.73e-12	0.273
"Adam33"	5.817	5.362	6.272	9.55	26.997	2.4e-15	2.15e-12	0.074
"Anxa1"	4.19	3.861	4.519	13.432	26.885	2.58e-15	2.15e-12	0.107
"Cfd"	4.837	4.457	5.216	13.399	26.905	2.54e-15	2.15e-12	0.248
"Vim"	4.064	3.746	4.383	15.152	26.956	2.47e-15	2.15e-12	0.09
"Slamf9"	5.313	4.876	5.751	12.249	25.63	5.68e-15	4.49e-12	0.064
"Agpat2"	3.439	3.153	3.725	7.576	25.374	6.7e-15	4.93e-12	0.118
"Sqle"	-2.495	-2.703	-2.287	12.201	-25.33	6.89e-15	4.93e-12	0.079
"Hk3"	6.397	5.861	6.934	10.621	25.186	7.57e-15	5.17e-12	0.155
"Dennd2d"	3.506	3.21	3.802	10.446	24.987	8.63e-15	5.64e-12	0.076
"Tm7sf2"	-2.596	-2.816	-2.375	12.834	-24.856	9.41e-15	5.89e-12	0.104
"Mdfic"	2.603	2.38	2.826	9.872	24.647	1.08e-14	6.5e-12	0.184
"Emp3"	2.591	2.367	2.815	14.398	24.436	1.25e-14	7.2e-12	0.266
"Ccl3"	4.112	3.754	4.469	11.385	24.288	1.38e-14	7.67e-12	0.848
"LOC498276"	2.795	2.551	3.038	15.08	24.22	1.44e-14	7.74e-12	0.783
"Tax1bp3"	1.969	1.797	2.141	14.691	24.129	1.53e-14	7.95e-12	0.152
"Fermt3"	2.772	2.528	3.016	13.451	23.978	1.7e-14	8.52e-12	0.524
"Icam1"	3.035	2.766	3.304	11.435	23.789	1.94e-14	9.39e-12	0.124
"Cyba"	3.123	2.842	3.403	14.364	23.484	2.4e-14	1.13e-11	0.086
"Arl11"	3.658	3.328	3.988	10.195	23.393	2.55e-14	1.14e-11	0.211
"Hck"	2.635	2.397	2.873	14.258	23.377	2.58e-14	1.14e-11	0.228
"C1qa"	2.485	2.259	2.71	15.972	23.265	2.8e-14	1.2e-11	0.943
"Apobec1"	4.628	4.205	5.052	13.872	23.063	3.23e-14	1.31e-11	0.205
"Tnfrsf1a"	1.83	1.663	1.997	14.081	23.063	3.22e-14	1.31e-11	0.144
"Laptm5"	1.676	1.522	1.83	16.444	22.992	3.39e-14	1.34e-11	0.202
"S100a6"	3.752	3.406	4.098	11.411	22.885	3.66e-14	1.41e-11	0.228
"Grn"	2.606	2.365	2.848	16.042	22.786	3.93e-14	1.48e-11	0.164
"Glipr1"	3.518	3.192	3.845	12.018	22.731	4.09e-14	1.5e-11	0.432
"Cytip"	3.288	2.979	3.598	7.681	22.408	5.17e-14	1.85e-11	0.148
"Dok3"	3.236	2.931	3.541	11.209	22.38	5.28e-14	1.85e-11	0.143
"Ccl4"	4.11	3.718	4.501	7.994	22.164	6.19e-14	2.11e-11	0.166
