Gpnmb	1.04e-19
Cd68	8.32e-18
Ifitm1	1.35e-17
Klra5	7.95e-17
Cd8b	2.2e-16
Plbd1	2.17e-16
Tyrobp	1.85e-16
Ctsk	3.23e-16
Atf3	4.1e-16
Fcgr2b	4.06e-16
LOC681325	5.58e-16
RGD1559482	6.59e-16
Ms4a6b	7.2e-16
Ms4a6a	9.17e-16
Adam33	4.05e-15
Hk3	4.34e-15
Vim	4.45e-15
Slamf9	4.76e-15
Ccl3	5.28e-15
Dennd2d	5.43e-15
Cfd	6.66e-15
Laptm5	7.29e-15
Anxa1	8.34e-15
Mdfic	8.21e-15
Hck	8.75e-15
Fermt3	9.27e-15
Arl11	1.11e-14
Ccl4	1.61e-14
LOC498276	1.72e-14
Tax1bp3	1.71e-14
Cyba	2.05e-14
Dok3	2.02e-14
Emp3	2.25e-14
Glipr1	2.53e-14
Plcb2	2.83e-14
C1qa	3.09e-14
Cytip	3.03e-14
Apobec1	3.31e-14
Cd300le	3.47e-14
Grn	3.94e-14
MGC105649	5.07e-14
Sqle	5,00E-14
Tmem176b	5.2e-14
Timp1	8.47e-14
Agpat2	8.77e-14
Aacs	9.38e-14
Tm7sf2	9.22e-14
Tnfrsf1a	9.47e-14
C2	1.29e-13
Icam1	1.27e-13
Lhfpl2	1.66e-13
Tcirg1	1.74e-13
Gcnt1	1.89e-13
Mafb	1.87e-13
Skap2	1.85e-13
Ptprc	1.98e-13
St14	1.97e-13
Plaur	2.21e-13
Fcer1g	2.42e-13
Ripk3	2.54e-13
Gas2l3	2.59e-13
Siglec1	2.68e-13
Fxyd2	2.77e-13
Ctsc	2.84e-13
Ctsd	2.92e-13
Ly96	2.97e-13
Rab32	3.02e-13
Dpp7	3.37e-13
Vav1	3.43e-13
Vnn1	3.44e-13
A2m	4.22e-13
Tnfrsf1b	4.24e-13
RGD1561594	4.93e-13
Slc15a3	4.98e-13
Stk10	5.37e-13
Cebpd	5.53e-13
Dnajc22	5.6e-13
Crym	5.83e-13
Col3a1	6.23e-13
Cd200r1	6.4e-13
Irf5	6.43e-13
Trem2	6.58e-13
Lilrb4	6.95e-13
Mt2A	6.89e-13
Fhod1	7.84e-13
RGD1305807	7.94e-13
Rnaset2	7.86e-13
Tmem176a	7.69e-13
Ctsb	8.32e-13
S100a6	8.33e-13
Smpdl3a	8.18e-13
Clic1	8.47e-13
Aldh1l2	9.61e-13
Cd8a	9.64e-13
Clcf1	9.99e-13
Ctsz	1.03e-12
Ch25h	1.07e-12
Itgb2	1.07e-12
Stat3	1.14e-12
Ctsh	1.19e-12
Dapp1	1.19e-12
Myo1g	1.18e-12
Col1a2	1.23e-12
Fcgr2a	1.24e-12
Rgs18	1.29e-12
Fabp4	1.31e-12
Esm1	1.37e-12
Ly49s7	1.54e-12
Col6a1	1.63e-12
Prkcd	1.65e-12
Rhoh	1.65e-12
Kcnn4	1.73e-12
Fam107a	1.81e-12
Tgfbr1	1.86e-12
Gucy2c	1.99e-12
Asgr2	2.11e-12
Pltp	2.21e-12
Gdf15	2.3e-12
Tec	2.49e-12
Ifi30	2.54e-12
Cd63	2.74e-12
Egr2	2.72e-12
Mcoln3	2.7e-12
Matn2	2.92e-12
Rhbdf2	2.89e-12
S100a4	2.91e-12
Pi16	2.96e-12
Lrrn4cl	3.4e-12
C1qb	3.49e-12
Arhgap25	3.63e-12
Cmtm3	3.74e-12
Cybb	3.72e-12
Fgr	3.87e-12
Rasal3	4.26e-12
Idi1	4.39e-12
Myc	4.37e-12
Rgs1	4.81e-12
Plau	4.91e-12
Batf	5.02e-12
Ncf1	5.47e-12
Slfn2	5.66e-12
Cd34	5.77e-12
LOC365047	5.74e-12
Hspb1	6.31e-12
Kcnk13	6.47e-12
Wtip	6.93e-12
Cp	7.09e-12
Ptpn6	7.08e-12
Slc39a6	7.3e-12
Dock8	7.38e-12
Lyz2	7.48e-12
Myo7a	7.44e-12
Tspo	7.79e-12
Mmp19	8,00E-12
Ren	8.1e-12
Cd6	8.23e-12
Unc13d	8.56e-12
Ms4a4a	8.7e-12
B4galt1	8.94e-12
Tbxas1	9.28e-12
RGD1560208	9.56e-12
Aif1	9.74e-12
Gpr65	9.97e-12
Junb	1.01e-11
Adcy4	1.08e-11
Mpeg1	1.09e-11
Mvd	1.09e-11
Gusb	1.14e-11
Myo1f	1.16e-11
Stom	1.19e-11
Col6a3	1.22e-11
Tgfb1	1.22e-11
Ctrc	1.29e-11
Arhgap10	1.32e-11
Syk	1.4e-11
