"Gene"	"logFC"	"CI.L"	"CI.R"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"se.coef"
"Gpnmb"	6.166	5.902	6.43	15.754	49.263	1.04e-19	1.57e-15	0.063
"Cd68"	6.572	6.206	6.938	14.629	37.943	8.32e-18	6.25e-14	0.239
"Ifitm1"	7.113	6.705	7.52	14.007	36.867	1.35e-17	6.74e-14	0.092
"Klra5"	7.358	6.889	7.826	11.644	33.148	7.95e-17	2.99e-13	0.188
"Cd8b"	5.476	5.105	5.847	10.749	31.182	2.2e-16	4.72e-13	0.495
"Plbd1"	7.165	6.68	7.649	11.089	31.207	2.17e-16	4.72e-13	0.443
"Tyrobp"	2.509	2.341	2.678	12.389	31.509	1.85e-16	4.72e-13	0.363
"Ctsk"	5.131	4.775	5.486	13.612	30.47	3.23e-16	6.06e-13	0.116
"Atf3"	4.404	4.094	4.713	12.416	30.035	4.1e-16	6.16e-13	0.126
"Fcgr2b"	2.754	2.561	2.948	14.384	30.055	4.06e-16	6.16e-13	0.092
"LOC681325"	7.001	6.5	7.502	7.681	29.485	5.58e-16	7.62e-13	0.224
"RGD1559482"	6.945	6.443	7.447	13.338	29.189	6.59e-16	8.26e-13	0.396
"Ms4a6b"	4.414	4.093	4.734	13.59	29.034	7.2e-16	8.33e-13	0.317
"Ms4a6a"	4.776	4.423	5.128	10.82	28.613	9.17e-16	9.85e-13	0.276
"Adam33"	5.712	5.251	6.173	9.55	26.159	4.05e-15	3.93e-12	0.075
"Hk3"	6.706	6.162	7.249	10.621	26.05	4.34e-15	3.93e-12	0.091
"Vim"	3.975	3.652	4.297	15.152	26.012	4.45e-15	3.93e-12	0.251
"Slamf9"	5.443	4.999	5.886	12.249	25.906	4.76e-15	3.97e-12	0.108
"Ccl3"	4.416	4.054	4.778	11.385	25.742	5.28e-15	4.08e-12	0.065
"Dennd2d"	3.654	3.354	3.954	10.446	25.699	5.43e-15	4.08e-12	0.12
"Cfd"	4.624	4.24	5.009	13.399	25.383	6.66e-15	4.77e-12	0.08
"Laptm5"	1.865	1.709	2.021	16.444	25.244	7.29e-15	4.98e-12	0.157
"Anxa1"	3.955	3.621	4.288	13.432	25.039	8.34e-15	5.22e-12	0.106
"Mdfic"	2.683	2.457	2.909	9.872	25.063	8.21e-15	5.22e-12	0.077
"Hck"	2.852	2.611	3.093	14.258	24.966	8.75e-15	5.26e-12	0.186
"Fermt3"	2.915	2.668	3.162	13.451	24.879	9.27e-15	5.36e-12	0.27
"Arl11"	3.899	3.565	4.233	10.195	24.607	1.11e-14	6.18e-12	0.859
"Ccl4"	4.521	4.124	4.917	7.994	24.058	1.61e-14	8.6e-12	0.793
"LOC498276"	2.803	2.556	3.049	15.08	23.965	1.72e-14	8.6e-12	0.531
"Tax1bp3"	1.982	1.808	2.157	14.691	23.971	1.71e-14	8.6e-12	0.154
"Cyba"	3.195	2.91	3.479	14.364	23.707	2.05e-14	9.63e-12	0.088
"Dok3"	3.478	3.168	3.787	11.209	23.73	2.02e-14	9.63e-12	0.126
"Emp3"	2.534	2.307	2.76	14.398	23.577	2.25e-14	1.02e-11	0.214
"Glipr1"	3.672	3.341	4.003	12.018	23.409	2.53e-14	1.12e-11	0.231
"Plcb2"	2.92	2.654	3.185	8.433	23.248	2.83e-14	1.21e-11	0.956
"C1qa"	2.503	2.274	2.731	15.972	23.124	3.09e-14	1.25e-11	0.208
"Cytip"	3.443	3.129	3.757	7.681	23.153	3.03e-14	1.25e-11	0.146
"Apobec1"	4.683	4.254	5.112	13.872	23.026	3.31e-14	1.31e-11	0.205
"Cd300le"	6.26	5.684	6.835	10.186	22.961	3.47e-14	1.34e-11	0.231
"Grn"	2.641	2.396	2.886	16.042	22.784	3.94e-14	1.48e-11	0.166
"MGC105649"	4.138	3.748	4.527	10.303	22.435	5.07e-14	1.82e-11	0.15
"Sqle"	-2.241	-2.452	-2.031	12.201	-22.454	5e-14	1.82e-11	0.438
"Tmem176b"	2.379	2.155	2.603	15.04	22.403	5.2e-14	1.82e-11	0.145
"Timp1"	3.538	3.195	3.882	14.385	21.744	8.47e-14	2.89e-11	0.169
"Agpat2"	2.98	2.69	3.27	7.576	21.698	8.77e-14	2.93e-11	0.061
"Aacs"	-1.998	-2.193	-1.803	11.089	-21.608	9.38e-14	2.96e-11	0.205
"Tm7sf2"	-2.289	-2.513	-2.066	12.834	-21.631	9.22e-14	2.96e-11	0.082
"Tnfrsf1a"	1.737	1.567	1.906	14.081	21.596	9.47e-14	2.96e-11	0.13
"C2"	3.469	3.123	3.814	13.822	21.191	1.29e-13	3.88e-11	0.12
"Icam1"	2.743	2.47	3.016	11.435	21.216	1.27e-13	3.88e-11	0.163
"Lhfpl2"	1.614	1.451	1.777	11.542	20.868	1.66e-13	4.88e-11	0.222
"Tcirg1"	2.098	1.885	2.311	15.077	20.807	1.74e-13	5.02e-11	0.178
"Gcnt1"	2.304	2.069	2.539	8.433	20.702	1.89e-13	5.16e-11	0.182
"Mafb"	3.629	3.26	3.999	10.305	20.712	1.87e-13	5.16e-11	0.14
"Skap2"	1.719	1.544	1.894	14.274	20.726	1.85e-13	5.16e-11	0.231
"Ptprc"	2.434	2.185	2.682	7.619	20.639	1.98e-13	5.23e-11	0.17
"St14"	3.424	3.074	3.774	8.719	20.647	1.97e-13	5.23e-11	0.083
"Plaur"	5.498	4.932	6.063	8.319	20.505	2.21e-13	5.72e-11	0.194
"Fcer1g"	2.625	2.353	2.896	14.194	20.392	2.42e-13	6.15e-11	0.2
"Ripk3"	2.642	2.367	2.916	12.508	20.327	2.54e-13	6.37e-11	0.12
"Gas2l3"	5.028	4.505	5.551	5.29	20.303	2.59e-13	6.39e-11	0.215
"Siglec1"	7.331	6.567	8.095	8.094	20.263	2.68e-13	6.49e-11	0.099
"Fxyd2"	3.411	3.055	3.767	10.096	20.219	2.77e-13	6.62e-11	0.089
"Ctsc"	2.668	2.389	2.947	12.296	20.189	2.84e-13	6.67e-11	0.06
"Ctsd"	1.251	1.12	1.382	17.674	20.156	2.92e-13	6.75e-11	0.197
"Ly96"	2.544	2.278	2.811	8.499	20.135	2.97e-13	6.76e-11	0.128
"Rab32"	2.994	2.68	3.309	9.309	20.115	3.02e-13	6.76e-11	0.171
"Dpp7"	2.224	1.989	2.459	14.702	19.98	3.37e-13	7.38e-11	0.432
"Vav1"	3.523	3.15	3.895	10.397	19.958	3.43e-13	7.38e-11	0.108
"Vnn1"	3.269	2.923	3.615	8.936	19.955	3.44e-13	7.38e-11	0.14
"A2m"	1.811	1.617	2.006	16.384	19.703	4.22e-13	8.84e-11	0.222
"Tnfrsf1b"	2.84	2.536	3.145	11.562	19.699	4.24e-13	8.84e-11	0.666
"RGD1561594"	-2.108	-2.336	-1.88	10.445	-19.517	4.93e-13	1.01e-10	0.476
"Slc15a3"	2.693	2.402	2.985	11.325	19.504	4.98e-13	1.01e-10	0.095
"Stk10"	2.509	2.236	2.781	11.593	19.413	5.37e-13	1.08e-10	0.124
"Cebpd"	2.652	2.363	2.941	13.785	19.379	5.53e-13	1.09e-10	0.121
"Dnajc22"	2.608	2.324	2.893	11.585	19.363	5.6e-13	1.09e-10	0.14
"Crym"	2.462	2.193	2.731	13.17	19.315	5.83e-13	1.12e-10	0.405
"Col3a1"	5.094	4.535	5.652	13.896	19.238	6.23e-13	1.18e-10	0.066
"Cd200r1"	3.798	3.38	4.215	7.656	19.204	6.4e-13	1.19e-10	0.145
"Irf5"	1.792	1.595	1.989	12.377	19.199	6.43e-13	1.19e-10	0.112
