Gpnmb	7.1e-21
Cd68	2.65e-19
Ifitm1	3.37e-19
Cd8b	5.32e-18
Ctsk	5.4e-18
RGD1559482	4.08e-18
Ms4a6a	8.02e-18
Plbd1	6.84e-18
Tyrobp	8.78e-18
Klra5	9.91e-18
Ms4a6b	1.15e-17
Atf3	1.58e-17
LOC681325	2.15e-17
Fcgr2b	4.23e-17
Hck	6.14e-17
Cfd	7.18e-17
Cd300le	8.12e-17
Ccl3	9.76e-17
Fermt3	1.19e-16
Laptm5	1.21e-16
Slamf9	1.15e-16
Hk3	1.41e-16
Dennd2d	1.57e-16
Cytip	2.2e-16
Glipr1	2.38e-16
Vim	2.53e-16
C1qa	2.7e-16
Cyba	2.89e-16
Grn	2.82e-16
Anxa1	3.89e-16
LOC498276	3.85e-16
Plcb2	4.36e-16
Dok3	4.61e-16
Apobec1	4.8e-16
Mdfic	5.28e-16
Ctsc	8.58e-16
Ptprc	1.04e-15
Tax1bp3	1.06e-15
Emp3	1.12e-15
Timp1	1.12e-15
Ripk3	1.23e-15
Tcirg1	1.32e-15
Tnfrsf1b	1.34e-15
Ccl4	1.46e-15
Col3a1	1.44e-15
MGC105649	1.73e-15
Mafb	1.94e-15
Dnajc22	2.08e-15
Gcnt1	2.11e-15
Ly96	2.04e-15
Agpat2	2.21e-15
Fcer1g	2.21e-15
Rgs18	2.51e-15
Adam33	2.59e-15
Ctsz	2.76e-15
Myo1g	2.79e-15
Irf5	2.88e-15
Tmem176b	2.95e-15
Cd200r1	3.2e-15
Tnfrsf1a	3.27e-15
Dpp7	3.9e-15
Rab32	4.06e-15
St14	4.15e-15
Aif1	4.3e-15
C2	4.7e-15
Trem2	4.72e-15
Vav1	4.73e-15
Dapp1	4.96e-15
Mmp8	4.96e-15
Cmtm3	5.48e-15
Col1a2	5.82e-15
Cd8a	5.92e-15
Rnaset2	6.16e-15
Kcnk13	6.8e-15
Clic1	6.99e-15
Skap2	7.13e-15
Icam1	8.08e-15
Siglec1	8,00E-15
Ctrc	8.35e-15
Fxyd2	8.91e-15
Plaur	8.93e-15
Slc15a3	9.76e-15
A2m	1.06e-14
Col6a1	1.07e-14
Ctsd	1.06e-14
Stk10	1.08e-14
Ptprv	1.26e-14
Ifi30	1.35e-14
S100a6	1.42e-14
Itgb2	1.52e-14
Tmem176a	1.56e-14
Fabp4	1.62e-14
Gucy2c	1.59e-14
Tgfbr1	1.63e-14
Lhfpl2	1.67e-14
Tm7sf2	1.71e-14
Wtip	1.72e-14
Plau	1.74e-14
Aldh1l2	1.76e-14
Batf	1.94e-14
Fhod1	1.95e-14
Kcnn4	1.98e-14
Lilrb4	2.14e-14
Ptpn6	2.23e-14
Smpdl3a	2.36e-14
Ms4a4a	2.44e-14
Arhgap9	2.64e-14
Rasal3	2.77e-14
Gusb	2.95e-14
Fcgr2a	2.99e-14
Gas2l3	3.4e-14
Fap	3.43e-14
C1qb	3.74e-14
Cd63	3.8e-14
Arhgap25	3.9e-14
Loxl1	4.03e-14
Unc13d	4.14e-14
Aacs	4.2e-14
Col6a3	4.71e-14
Sqle	4.82e-14
Esm1	5.02e-14
Ncf4	5.44e-14
Syk	5.5e-14
B4galt1	5.59e-14
RGD1305807	5.91e-14
Myo1f	6.18e-14
Rhbdf2	6.24e-14
Tmem106a	6.58e-14
Cybb	7.05e-14
Ctsb	7.17e-14
Lst1	7.84e-14
Ch25h	8.25e-14
Tgfb1	8.5e-14
Samsn1	8.91e-14
Tnfaip8l2	9.39e-14
Col1a1	9.57e-14
Fgr	1.02e-13
Rhoh	1.02e-13
Tbxas1	1.02e-13
Ctsa	1.07e-13
Ifitm2	1.06e-13
Tspo	1.1e-13
Gdf15	1.15e-13
Mrc1	1.14e-13
Rbp1	1.15e-13
Ren	1.17e-13
Pltp	1.19e-13
Ctsh	1.26e-13
Cebpd	1.29e-13
Crym	1.3e-13
Myo7a	1.29e-13
Folr2	1.33e-13
Arpc1b	1.34e-13
Eif4ebp1	1.38e-13
Gpr65	1.43e-13
Thbs2	1.44e-13
Scpep1	1.53e-13
Pi16	1.56e-13
Pcolce	1.59e-13
Anpep	1.61e-13
C3ar1	1.66e-13
Lyz2	1.66e-13
Acp5	1.69e-13
Abca1	1.76e-13
Cfh	1.82e-13
C1qc	1.88e-13
Dock8	1.86e-13
Ncf1	1.9e-13
Prkcd	1.89e-13
Ptpn7	1.9e-13
Asgr2	1.98e-13
Htr2b	2.02e-13
Myc	2.03e-13
Pros1	2.06e-13
Scamp2	2.08e-13
Lgmn	2.2e-13
Cd1d1	2.23e-13
Gsdmd	2.43e-13
Ly86	2.44e-13
Fut4	2.51e-13
Tec	2.51e-13
Traf3ip3	2.55e-13
Tlr2	2.68e-13
RGD1561594	2.87e-13
Ly49s7	2.94e-13
Bmf	3.07e-13
Btk	3.27e-13
Mmp2	3.27e-13
Col15a1	3.41e-13
Cyp1b1	3.54e-13
Vnn1	3.88e-13
Tcf19	4.04e-13
Mical1	4.12e-13
LOC365047	4.19e-13
Slfn2	4.27e-13
RGD1560687	4.31e-13
Mpeg1	4.37e-13
Edem1	4.44e-13
Cd40	4.67e-13
Hhex	4.78e-13
Tlr6	4.85e-13
Hsd17b1	4.97e-13
Entpd1	5.38e-13
Fuca1	5.38e-13
Clcf1	5.42e-13
Mcoln3	5.63e-13
Adcy4	5.68e-13
Il13ra1	5.76e-13
Lrrn4cl	5.75e-13
Stat3	5.76e-13
Hexb	5.83e-13
Pik3ap1	5.81e-13
Cd86	6,00E-13
Cd6	6.09e-13
Pf4	6.13e-13
Trim47	6.14e-13
Ppic	6.25e-13
Egr2	6.31e-13
Hexa	6.57e-13
Cd34	6.92e-13
Lrrfip1	6.89e-13
Matn2	6.95e-13
Col6a2	7.02e-13
Junb	7.13e-13
Mlkl	7.21e-13
Arhgap10	7.72e-13
Rgs1	7.94e-13
A3galt2	8.21e-13
Fxyd5	8.18e-13
Neurl3	8.17e-13
Dpep2	8.52e-13
Ifi47	9.25e-13
Nckap1l	9.45e-13
Timp2	9.45e-13
Ugt1a2	9.45e-13
RGD1564614	1,00E-12
Stom	1.01e-12
Mmp19	1.04e-12
Tspan4	1.13e-12
Cdk6	1.19e-12
Rarres1	1.2e-12
Prrg4	1.24e-12
Smagp	1.24e-12
Bcl3	1.25e-12
Etv6	1.27e-12
RGD1563222	1.31e-12
Tlr4	1.32e-12
Cd244	1.45e-12
Slc2a9	1.45e-12
Rgs14	1.5e-12
Bmp1	1.53e-12
Il1r2	1.54e-12
Adig	1.55e-12
Lbp	1.64e-12
Hpse	1.73e-12
Casp1	1.78e-12
Adamts7	1.8e-12
Tep1	1.8e-12
Mvk	1.82e-12
Soat1	1.88e-12
Usp31	1.9e-12
Sin3b	1.91e-12
Plxnc1	1.96e-12
Psme1	1.97e-12
Ankle1	2.02e-12
Dab2	2.02e-12
Bgn	2.11e-12
Slc43a3	2.12e-12
Gna15	2.15e-12
Lrch4	2.23e-12
Pygl	2.3e-12
