"Gene"	"logFC"	"CI.L"	"CI.R"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"se.coef"
"Gpnmb"	6.21	5.984	6.437	15.754	57.805	7.1e-21	1.07e-16	0.054
"Cd68"	6.93	6.616	7.244	14.629	46.61	2.65e-19	1.69e-15	0.205
"Ifitm1"	7.609	7.26	7.959	14.007	45.948	3.37e-19	1.69e-15	0.079
"Cd8b"	5.875	5.557	6.193	10.749	38.971	5.32e-18	1.35e-14	0.312
"Ctsk"	5.628	5.323	5.933	13.612	38.937	5.4e-18	1.35e-14	0.38
"RGD1559482"	8.087	7.656	8.518	13.338	39.596	4.08e-18	1.35e-14	0.161
"Ms4a6a"	5.448	5.146	5.751	10.82	38.028	8.02e-18	1.47e-14	0.1
"Plbd1"	7.565	7.15	7.981	11.089	38.39	6.84e-18	1.47e-14	0.425
"Tyrobp"	2.586	2.441	2.73	12.389	37.823	8.78e-18	1.47e-14	0.079
"Klra5"	7.155	6.752	7.557	11.644	37.549	9.91e-18	1.49e-14	0.108
"Ms4a6b"	4.856	4.581	5.132	13.59	37.214	1.15e-17	1.57e-14	0.193
"Atf3"	4.596	4.331	4.862	12.416	36.518	1.58e-17	1.98e-14	0.34
"LOC681325"	7.308	6.878	7.738	7.681	35.853	2.15e-17	2.48e-14	0.272
"Fcgr2b"	2.708	2.542	2.874	14.384	34.424	4.23e-17	4.54e-14	0.237
"Hck"	3.301	3.094	3.508	14.258	33.665	6.14e-17	6.15e-14	0.064
"Cfd"	5.216	4.886	5.546	13.399	33.351	7.18e-17	6.74e-14	0.078
"Cd300le"	7.747	7.253	8.241	10.186	33.105	8.12e-17	7.18e-14	0.216
"Ccl3"	4.822	4.511	5.133	11.385	32.741	9.76e-17	8.15e-14	0.093
"Fermt3"	3.254	3.042	3.466	13.451	32.355	1.19e-16	8.69e-14	0.103
"Laptm5"	2.049	1.915	2.183	16.444	32.314	1.21e-16	8.69e-14	0.069
"Slamf9"	5.846	5.465	6.227	12.249	32.415	1.15e-16	8.69e-14	0.056
"Hk3"	7.077	6.611	7.544	10.621	32.028	1.41e-16	9.62e-14	0.135
"Dennd2d"	3.883	3.626	4.141	10.446	31.818	1.57e-16	1.03e-13	0.066
"Arl11"	4.315	4.027	4.602	10.195	31.721	1.65e-16	1.04e-13	0.091
"Cytip"	3.98	3.711	4.25	7.681	31.182	2.2e-16	1.32e-13	0.16
"Glipr1"	4.178	3.894	4.463	12.018	31.032	2.38e-16	1.38e-13	0.231
"Vim"	4.056	3.779	4.332	15.152	30.921	2.53e-16	1.41e-13	0.737
"C1qa"	2.861	2.665	3.058	15.972	30.8	2.7e-16	1.45e-13	0.681
"Cyba"	3.548	3.304	3.793	14.364	30.677	2.89e-16	1.45e-13	0.456
"Grn"	3.057	2.847	3.267	16.042	30.72	2.82e-16	1.45e-13	0.132
"Anxa1"	4.085	3.799	4.371	13.432	30.13	3.89e-16	1.83e-13	0.075
"LOC498276"	3.026	2.815	3.238	15.08	30.149	3.85e-16	1.83e-13	0.108
"Plcb2"	3.226	2.998	3.453	8.433	29.926	4.36e-16	1.98e-13	0.184
"Dok3"	3.752	3.486	4.017	11.209	29.825	4.61e-16	2.04e-13	0.198
"Apobec1"	5.194	4.826	5.563	13.872	29.753	4.8e-16	2.06e-13	0.821
"Mdfic"	2.718	2.524	2.912	9.872	29.582	5.28e-16	2.2e-13	0.125
"Ctsc"	3.259	3.02	3.499	12.296	28.729	8.58e-16	3.49e-13	0.178
"Ptprc"	2.874	2.66	3.087	7.619	28.393	1.04e-15	4.09e-13	0.176
"Tax1bp3"	2.014	1.864	2.163	14.691	28.364	1.06e-15	4.09e-13	0.198
"Emp3"	2.608	2.414	2.803	14.398	28.276	1.12e-15	4.12e-13	0.143
"Timp1"	3.948	3.653	4.243	14.385	28.264	1.12e-15	4.12e-13	0.376
"Ripk3"	3.136	2.9	3.371	12.508	28.111	1.23e-15	4.4e-13	0.129
"Tcirg1"	2.423	2.24	2.605	15.077	27.994	1.32e-15	4.56e-13	0.125
