ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_1651354	1.30e-06	4.67e-08	6.246643	8.197827	2.37554882	38146097	SPP1	secreted phosphoprotein 1
ILMN_1701308	6.64e-09	1.04e-10	7.802582	14.182606	2.33244108	110349771	COL1A1	collagen type I alpha 1 chain
ILMN_1787266	5.34e-04	5.60e-05	4.33644	1.326491	2.12729966	657940887	SPINK1	serine peptidase inhibitor, Kazal type 1
ILMN_1686097	5.84e-09	9.04e-11	7.837439	14.31739	1.84368687	300193028	TOP2A	topoisomerase (DNA) II alpha
ILMN_2374449	3.34e-05	2.17e-06	5.239084	4.460344	1.82346801	91206461	SPP1	secreted phosphoprotein 1
ILMN_2073758	1.79e-07	4.83e-09	6.827642	10.417589	1.80151852	974987455	MMP12	matrix metallopeptidase 12
ILMN_1791726	5.22e-09	7.98e-11	7.86917	14.440067	1.79396633	308235961	TUBB3	tubulin beta 3 class III
ILMN_1714730	1.49e-06	5.55e-08	6.202209	8.029498	1.77464983	NA		
ILMN_2301083	2.42e-07	6.92e-09	6.736004	10.065575	1.70627946	528524527	UBE2C	ubiquitin conjugating enzyme E2 C
ILMN_1690170	2.36e-07	6.68e-09	6.744834	10.099471	1.68916498	315013540	CRABP2	cellular retinoic acid binding protein 2
ILMN_2349393	1.08e-10	9.54e-13	8.99923	18.784633	1.6813367	396080282	MDK	midkine (neurite growth-promoting factor 2)
ILMN_1733519	6.70e-07	2.19e-08	6.441333	8.938098	1.67125253	669033280	HMGB3	high mobility group box 3
ILMN_1682326	1.26e-05	6.94e-07	5.543366	5.568565	1.66940067	48762917	PCP4	Purkinje cell protein 4
ILMN_1737184	7.36e-11	6.03e-13	9.117619	19.235464	1.60611111	88999584	CDCA7	cell division cycle associated 7
ILMN_1702363	1.85e-08	3.39e-10	7.502412	13.021608	1.59186532	189571635	SULF1	sulfatase 1
ILMN_2104356	3.42e-06	1.47e-07	5.950053	7.07928	1.5810101	48762933	COL1A2	collagen type I alpha 2 chain
ILMN_1761946	2.87e-08	5.56e-10	7.376557	12.534932	1.57873401	1005689365	PROM2	prominin 2
ILMN_2192072	1.78e-04	1.52e-05	4.70556	2.575979	1.57338047	974987432	MMP7	matrix metallopeptidase 7
ILMN_1663390	1.78e-08	3.16e-10	7.519965	13.089499	1.56411785	118402581	CDC20	cell division cycle 20
ILMN_1655915	1.98e-08	3.67e-10	7.482305	12.943844	1.55240404	938148819	MMP11	matrix metallopeptidase 11
