ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
209875_s_at	7.76e-37	5.22e-40	20.99937	80.5989405	4.3644151	SPP1	secreted phosphoprotein 1
37892_at	1.88e-21	3.04e-23	12.723107	42.2788934	3.061522	COL11A1	collagen type XI alpha 1 chain
204475_at	5.80e-15	2.47e-16	9.674348	26.4666847	2.8620356	MMP1	matrix metallopeptidase 1
206239_s_at	1.35e-11	9.83e-13	8.079641	18.2549102	2.7583995	SPINK1	serine peptidase inhibitor, Kazal type 1
218469_at	6.28e-23	8.05e-25	13.434493	45.8889502	2.5483627	GREM1	gremlin 1, DAN family BMP antagonist
217428_s_at	7.58e-20	1.52e-21	11.966021	38.3908883	2.463475	COL10A1	collagen type X alpha 1 chain
201292_at	2.43e-24	2.41e-26	14.131334	49.3773136	2.4559629	TOP2A	topoisomerase (DNA) II alpha
218468_s_at	2.15e-21	3.51e-23	12.695219	42.1364543	2.4414575	GREM1	gremlin 1, DAN family BMP antagonist
214774_x_at	3.82e-17	1.15e-18	10.697312	31.8017087	2.43796	TOX3	TOX high mobility group box family member 3
201291_s_at	9.97e-22	1.57e-23	12.851738	42.9350086	2.4220769	TOP2A	topoisomerase (DNA) II alpha
204580_at	6.93e-19	1.58e-20	11.515959	36.0616021	2.3773246	MMP12	matrix metallopeptidase 12
212353_at	1.51e-24	1.45e-26	14.233966	49.8867458	2.3600795	SULF1	sulfatase 1
202310_s_at	1.18e-17	3.24e-19	10.938548	33.059193	2.3283219	COL1A1	collagen type I alpha 1 chain
216623_x_at	7.82e-18	2.10e-19	11.021058	33.4889581	2.311316	TOX3	TOX high mobility group box family member 3
201884_at	2.31e-11	1.78e-12	7.963586	17.6685603	2.2854067	CEACAM5	carcinoembryonic antigen related cell adhesion molecule 5
204846_at	1.17e-20	2.09e-22	12.348723	40.36156	2.2840915	CP	ceruloplasmin (ferroxidase)
202311_s_at	2.43e-17	7.07e-19	10.789626	32.2830567	2.2237682	COL1A1	collagen type I alpha 1 chain
203744_at	2.53e-25	2.13e-27	14.619242	51.788681	2.2161973	HMGB3	high mobility group box 3
204351_at	1.71e-09	1.82e-10	7.040994	13.0977247	2.1665166	S100P	S100 calcium binding protein P
212354_at	7.41e-24	7.91e-26	13.894306	48.1964386	2.1182963	SULF1	sulfatase 1
208650_s_at	9.26e-15	4.06e-16	9.579737	25.9742728	2.0876963	CD24	CD24 molecule
203083_at	4.67e-22	6.88e-24	13.013113	43.7561196	2.0864912	THBS2	thrombospondin 2
205242_at	2.07e-12	1.32e-13	8.469677	20.2398361	2.0543091	CXCL13	C-X-C motif chemokine ligand 13
