GeneID	Rank
AGER	1
EDNRB	2
FAM107A	3
CA4	4
ADAMTS8	5
TEK	6
FABP4	7
TCF21	8
ACADL	9
ADH1B	10
SPTBN1	11
CD36	12
CDH5	13
JAM2	14
KANK3	15
GDF10	16
STX11	17
GRK5	18
SH3GL3	19
CAV1	20
PECAM1	21
STARD13	22
FHL1	23
LDB2	24
PTPRB	25
HIGD1B	26
LYVE1	27
FCN3	28
S1PR1	29
ADARB1	30
RGCC	31
SPOCK2	32
SLIT3	33
TMEM100	34
FOXF1	35
FMO2	36
EMCN	37
TNNC1	38
RASIP1	39
ACVRL1	40
CLIC5	41
GPM6A	42
FXYD1	43
FGFR4	44
CLDN18	45
FHL5	46
CLEC1A	47
LIMS2	48
FAM189A2	49
RAMP3	50
EPAS1	51
TGFBR3	52
VWF	53
SVEP1	54
DPEP2	55
DUOX1	56
ZNF106	57
CAV2	58
GPM6B	59
SDPR	60
CD93	61
SASH1	62
LRRC36	63
AOC3	64
MFAP4	65
ADAMTSL3	66
WWC2	67
ABCA8	68
TACC1	69
PKNOX2	70
CELF2	71
GPX3	72
RAMP2	73
SGCG	74
GSTM5	75
ADRB2	76
CDO1	77
KCNK3	78
ASPA	79
HBA2	80
ROBO4	81
TOP2A	82
STXBP6	83
MME	84
SLIT2	85
CFD	86
ADIRF	87
NME1	88
MACF1	89
DENND3	90
PDZD2	91
PAFAH1B3	92
CLDN5	93
HBB	94
SFTPC	95
SPP1	96
RASL12	97
PPP1R14B	98
STX12	99
GHR	100
FXYD6	101
CALCRL	102
FGR	103
MIF	104
COX7A1	105
SOX17	106
RECK	107
GAPDH	108
AGTR1	109
VGLL3	110
GATA2	111
TNXB	112
GOLM1	113
SLC6A4	114
EFCC1	115
C1orf21	116
COL13A1	117
CYP4B1	118
SNX1	119
PID1	120
FBLN5	121
TIE1	122
THBD	123
LRRN3	124
NOTCH4	125
ANGPT1	126
OLFML1	127
LRRC32	128
KANK2	129
SRPX	130
HSD17B6	131
PLA2G1B	132
VIPR1	133
AQP4	134
FEZ1	135
CDC20	136
CAT	137
AHNAK	138
ANOS1	139
LPL	140
MARCO	141
PCOLCE2	142
TGFBR2	143
HYAL1	144
FZD4	145
PYCR1	146
GPD1	147
MFNG	148
LTBP4	149
TMEM204	150
ITIH5	151
LIMCH1	152
QKI	153
PAICS	154
LAMP3	155
PRX	156
HSPB8	157
ICAM2	158
SEMA5A	159
CPB2	160
TBX3	161
SPARCL1	162
KLF4	163
STARD8	164
SRPK1	165
DNASE1L3	166
HBEGF	167
MYZAP	168
CENPF	169
HSPB2	170
WFDC1	171
TMEM74B	172
MYH10	173
VSIG4	174
LHFP	175
PTPRM	176
MMRN2	177
SYNM	178
CD34	179
RRAS	180
TIMP3	181
ALDH18A1	182
GJA4	183
SEPT4	184
LMO2	185
ASPM	186
SNRK	187
CRYAB	188
MT1M	189
ENG	190
GNG11	191
DPYSL2	192
TAL1	193
CDH13	194
SOSTDC1	195
HOXA5	196
MDK	197
SH2D3C	198
CPED1	199
LMO7	200
DES	201
CRTAC1	202
TRPV2	203
SMAD6	204
ARHGEF15	205
DENND2A	206
HLX	207
