"ID"	"Description"
"GO:0001525"	"angiogenesis"
"GO:0032870"	"cellular response to hormone stimulus"
"GO:0070830"	"bicellular tight junction assembly"
"GO:0042744"	"hydrogen peroxide catabolic process"
"GO:0007179"	"transforming growth factor beta receptor signaling pathway"
"GO:0120162"	"positive regulation of cold-induced thermogenesis"
"GO:0001570"	"vasculogenesis"
"GO:0035633"	"maintenance of blood-brain barrier"
"GO:0007155"	"cell adhesion"
"GO:0098609"	"cell-cell adhesion"
"GO:0001937"	"negative regulation of endothelial cell proliferation"
"GO:0043116"	"negative regulation of vascular permeability"
"GO:0031623"	"receptor internalization"
"GO:0061028"	"establishment of endothelial barrier"
"GO:0001666"	"response to hypoxia"
"GO:0030301"	"cholesterol transport"
"GO:0006956"	"complement activation"
"GO:0001935"	"endothelial cell proliferation"
"GO:0098869"	"cellular oxidant detoxification"
"GO:0051591"	"response to cAMP"
"GO:2000352"	"negative regulation of endothelial cell apoptotic process"
"GO:0060412"	"ventricular septum morphogenesis"
"GO:0007595"	"lactation"
"GO:0019065"	"receptor-mediated endocytosis of virus by host cell"
"GO:0045766"	"positive regulation of angiogenesis"
"GO:1904646"	"cellular response to amyloid-beta"
"GO:0048846"	"axon extension involved in axon guidance"
"GO:1902533"	"positive regulation of intracellular signal transduction"
"GO:0030335"	"positive regulation of cell migration"
"GO:0010739"	"positive regulation of protein kinase A signaling"
"GO:0071493"	"cellular response to UV-B"
"GO:2001214"	"positive regulation of vasculogenesis"
"GO:0015670"	"carbon dioxide transport"
"GO:0016050"	"vesicle organization"
"GO:0043114"	"regulation of vascular permeability"
"GO:1900272"	"negative regulation of long-term synaptic potentiation"
"GO:1904645"	"response to amyloid-beta"
"GO:0043627"	"response to estrogen"
"GO:0001944"	"vasculature development"
"GO:0015671"	"oxygen transport"
"GO:0022010"	"central nervous system myelination"
"GO:0060347"	"heart trabecula formation"
"GO:2000573"	"positive regulation of DNA biosynthetic process"
"GO:0009617"	"response to bacterium"
"GO:0015909"	"long-chain fatty acid transport"
"GO:0051895"	"negative regulation of focal adhesion assembly"
"GO:0010628"	"positive regulation of gene expression"
"GO:0030308"	"negative regulation of cell growth"
"GO:0048557"	"embryonic digestive tract morphogenesis"
"GO:0060216"	"definitive hemopoiesis"
"GO:0007166"	"cell surface receptor signaling pathway"
"GO:0045603"	"positive regulation of endothelial cell differentiation"
"GO:0009611"	"response to wounding"
"GO:0042310"	"vasoconstriction"
"GO:0043085"	"positive regulation of catalytic activity"
"GO:0006898"	"receptor-mediated endocytosis"
"GO:0070374"	"positive regulation of ERK1 and ERK2 cascade"
"GO:0016338"	"calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules"
"GO:0030837"	"negative regulation of actin filament polymerization"
"GO:0048278"	"vesicle docking"
"GO:0048754"	"branching morphogenesis of an epithelial tube"
"GO:0071711"	"basement membrane organization"
"GO:0008285"	"negative regulation of cell population proliferation"
"GO:0001938"	"positive regulation of endothelial cell proliferation"
"GO:0008217"	"regulation of blood pressure"
"GO:0019934"	"cGMP-mediated signaling"
"GO:2000147"	"positive regulation of cell motility"
"GO:0006816"	"calcium ion transport"
"GO:0010596"	"negative regulation of endothelial cell migration"
"GO:0051893"	"regulation of focal adhesion assembly"
"GO:0055010"	"ventricular cardiac muscle tissue morphogenesis"
"GO:0030509"	"BMP signaling pathway"
"GO:0048565"	"digestive tract development"
"GO:0030324"	"lung development"
"GO:0007275"	"multicellular organism development"
"GO:0030198"	"extracellular matrix organization"
"GO:0010875"	"positive regulation of cholesterol efflux"
"GO:0019915"	"lipid storage"
"GO:0043001"	"Golgi to plasma membrane protein transport"
"GO:0050731"	"positive regulation of peptidyl-tyrosine phosphorylation"
"GO:0007159"	"leukocyte cell-cell adhesion"
"GO:1900745"	"positive regulation of p38MAPK cascade"
"GO:0071345"	"cellular response to cytokine stimulus"
"GO:0071773"	"cellular response to BMP stimulus"
"GO:0002027"	"regulation of heart rate"
"GO:0002040"	"sprouting angiogenesis"
"GO:0008016"	"regulation of heart contraction"
"GO:0050873"	"brown fat cell differentiation"
"GO:0030336"	"negative regulation of cell migration"
"GO:0045471"	"response to ethanol"
"GO:0001657"	"ureteric bud development"
"GO:0010811"	"positive regulation of cell-substrate adhesion"
"GO:0042632"	"cholesterol homeostasis"
"GO:0003180"	"aortic valve morphogenesis"
"GO:0042542"	"response to hydrogen peroxide"
"GO:0030334"	"regulation of cell migration"
"GO:0045429"	"positive regulation of nitric oxide biosynthetic process"
"GO:0001974"	"blood vessel remodeling"
"GO:0050919"	"negative chemotaxis"
"GO:0051480"	"regulation of cytosolic calcium ion concentration"
"GO:0043537"	"negative regulation of blood vessel endothelial cell migration"
"GO:0048286"	"lung alveolus development"
"GO:0007507"	"heart development"
"GO:0030501"	"positive regulation of bone mineralization"
"GO:0030513"	"positive regulation of BMP signaling pathway"
"GO:0006821"	"chloride transport"
"GO:0007043"	"cell-cell junction assembly"
"GO:0032735"	"positive regulation of interleukin-12 production"
"GO:0001934"	"positive regulation of protein phosphorylation"
"GO:0007188"	"adenylate cyclase-modulating G protein-coupled receptor signaling pathway"
"GO:0008277"	"regulation of G protein-coupled receptor signaling pathway"
"GO:0008333"	"endosome to lysosome transport"
"GO:0051384"	"response to glucocorticoid"
"GO:0097009"	"energy homeostasis"
"GO:0071456"	"cellular response to hypoxia"
"GO:0010467"	"gene expression"
"GO:0016525"	"negative regulation of angiogenesis"
"GO:0007189"	"adenylate cyclase-activating G protein-coupled receptor signaling pathway"
"GO:0003151"	"outflow tract morphogenesis"
"GO:0018108"	"peptidyl-tyrosine phosphorylation"
"GO:0032092"	"positive regulation of protein binding"
"GO:0033674"	"positive regulation of kinase activity"
"GO:1903078"	"positive regulation of protein localization to plasma membrane"
"GO:0016477"	"cell migration"
