GeneID	Rank	Score	p.adjust	FileCount	FileNames	GenePositions
AGER	1	0.000232500035259048	0.861572634315436	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	3,3,7,7
EDNRB	2	0.000346480016212435	0.861572634315436	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	15,30,1,5
FAM107A	3	0.0003968691451725	0.861572634315436	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	18,4,52,1
CA4	4	0.000509273734179434	0.861572634315436	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	47,6,9,4
ADAMTS8	5	0.000646717119441715	0.861572634315436	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	40,2,6,55
TEK	6	0.000750502098897743	0.861572634315436	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	28,20,10,9
FABP4	7	0.000830567103547274	0.861572634315436	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	1,78,45,21
TCF21	8	0.000868664564495497	0.861572634315436	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	7,35,31,12
ADH1B	9	0.00105936954003536	0.861572634315436	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	12,5,144,22
ACADL	10	0.00110582561099242	0.861572634315436	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	56,10,13,31
SPTBN1	11	0.00110748784968048	0.861572634315436	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	30,11,8,86
CD36	12	0.00143647660077509	0.861572634315436	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	35,104,90,2
CDH5	13	0.00154743916200866	0.861572634315436	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	51,103,28,6
JAM2	14	0.00161919791762792	0.861572634315436	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	25,40,84,13
KANK3	15	0.00209572392601519	0.861572634315436	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	26,64,14,129
GDF10	16	0.00219630226405697	0.861572634315436	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	59,21,12,248
STX11	17	0.00223769578016276	0.861572634315436	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	17,28,18,458
SH3GL3	18	0.00234939271335669	0.861572634315436	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	5,1746,2,275
CAV1	19	0.00237104443339379	0.861572634315436	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	13,196,49,39
PECAM1	20	0.00247521305888883	0.861572634315436	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	14,290,96,15
GRK5	21	0.00250307215747323	0.861572634315436	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	140,138,106,3
FHL1	22	0.00258833703837974	0.861572634315436	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	54,100,64,20
STARD13	23	0.00263903951014081	0.861572634315436	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	303,82,19,16
LDB2	24	0.00272909754995201	0.861572634315436	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	19,127,141,25
PTPRB	25	0.00297680435874954	0.861572634315436	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	53,42,43,130
HIGD1B	26	0.00305390535938002	0.861572634315436	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	95,150,95,10
LYVE1	27	0.00318597526032217	0.861572634315436	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	4,175,233,97
FCN3	28	0.0032299047880594	0.861572634315436	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	302,31,25,73
S1PR1	29	0.00323245471894832	0.861572634315436	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	29,120,107,45
RGCC	30	0.00347115026940323	0.861572634315436	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	22,116,112,78
SLIT3	31	0.00347446112070318	0.861572634315436	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	20,16,1185,58
ADARB1	32	0.00347648460475528	0.861572634315436	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	55,106,94,41
SPOCK2	33	0.00348053844951619	0.861572634315436	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	27,184,103,44
TMEM100	34	0.00357273485544484	0.861572634315436	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	159,85,17,111
FMO2	35	0.00361143714904542	0.861572634315436	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	8,157,151,138
EMCN	36	0.00361431695349814	0.861572634315436	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	42,25,365,70
FOXF1	37	0.00364515553578361	0.861572634315436	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	297,121,33,23
TNNC1	38	0.00371193025401069	0.861572634315436	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	306,23,51,84
RASIP1	39	0.00379667577744421	0.861572634315436	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	246,208,21,30
ACVRL1	40	0.00395617337169601	0.861572634315436	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	126,79,16,242
CLIC5	41	0.00395979883300528	0.861572634315436	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	518,18,47,90
FGFR4	42	0.00401395808071899	0.861572634315436	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	402,610,3,56
GPM6A	43	0.00402886311165706	0.861572634315436	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	193,27,471,17
FXYD1	44	0.00424007909701516	0.861572634315436	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	43,107,146,74
CLDN18	45	0.00437045216537645	0.861572634315436	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	135,50,115,75
LIMS2	46	0.00461046037177358	0.861572634315436	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	74,248,57,68
FAM189A2	47	0.0046116503468107	0.861572634315436	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	745,34,29,99
FHL5	48	0.00462672028258947	0.861572634315436	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	91,59,221,61
CLEC1A	49	0.00466106961934227	0.861572634315436	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	10,154,185,255
RAMP3	50	0.00479145163922462	0.861572634315436	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	197,39,105,105
EPAS1	51	0.00513016680537749	0.861572634315436	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	149,320,62,37
TGFBR3	52	0.00541124519646983	0.861572634315436	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	147,171,166,32
VWF	53	0.0055453832307393	0.861572634315436	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	102,188,402,19
