GeneID	Rank	FileCount	FileNames	GenePositions
AGER	1	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	7,3,7,3
EDNRB	2	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	5,30,1,15
FAM107A	3	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	1,4,51,18
ITLN2	4	2	data3.tsv, data4.tsv	NA,NA,11,9
CA4	5	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	4,6,9,47
LOC401286	6	2	data3.tsv, data4.tsv	NA,NA,77,2
ADAMTS8	7	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	55,2,6,40
TEK	8	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	10,20,10,28
FABP4	9	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	20,78,45,1
TCF21	10	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	12,35,31,7
CLEC3B	11	2	data3.tsv, data4.tsv	NA,NA,20,16
PIR-FIGF	12	2	data1.tsv, data2.tsv	25,14,NA,NA
ADH1B	13	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	22,5,144,12
ACADL	14	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	31,10,13,56
SPTBN1	15	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	86,11,8,30
MCEMP1	16	3	data2.tsv, data3.tsv, data4.tsv	NA,29,5,86
CD36	17	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	2,104,91,35
CDH5	18	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	6,103,28,51
JAM2	19	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	13,40,84,25
KANK3	20	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	129,64,14,26
GDF10	21	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	248,21,12,59
STX11	22	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	458,28,18,17
SH3GL3	23	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	275,1747,2,5
CAV1	24	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	39,196,49,14
PECAM1	25	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	15,290,96,13
GRK5	26	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	3,138,106,141
STARD13	27	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	16,82,19,303
FHL1	28	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	21,100,64,54
LDB2	29	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	26,127,141,19
PTPRB	30	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	130,42,43,53
WNT3A	31	2	data3.tsv, data4.tsv	NA,NA,44,80
HIGD1B	32	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	11,150,95,95
LYVE1	33	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	97,175,233,4
FCN3	34	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	73,31,25,302
S1PR1	35	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	46,121,107,29
LGI3	36	3	data2.tsv, data3.tsv, data4.tsv	NA,77,160,23
HSPA12B	37	3	data2.tsv, data3.tsv, data4.tsv	NA,89,39,83
ECSCR	38	2	data2.tsv, data4.tsv	NA,63,NA,73
RGCC	39	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	78,116,109,22
ADARB1	40	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	41,106,94,55
SPOCK2	41	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	44,184,103,27
SLIT3	42	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	59,16,1187,20
EMCN	43	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	69,25,366,42
FMO2	44	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	138,157,151,8
TMEM100	45	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	111,85,17,159
FOXF1	46	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	23,120,33,297
TNNC1	47	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	84,23,52,306
PLAC9	48	3	data2.tsv, data3.tsv, data4.tsv	NA,90,137,34
RASIP1	49	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	30,208,21,246
ACVRL1	50	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	242,79,16,126
CLIC5	51	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	90,18,47,518
FGFR4	52	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	56,610,4,402
GPM6A	53	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	17,27,474,193
MAMDC2	54	3	data2.tsv, data3.tsv, data4.tsv	NA,13,187,227
GPIHBP1	55	3	data2.tsv, data3.tsv, data4.tsv	NA,84,87,77
CD300LG	56	3	data2.tsv, data3.tsv, data4.tsv	NA,408,23,61
FXYD1	57	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	74,107,146,43
CLDN18	58	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	75,50,115,135
FHL5	59	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	60,59,221,91
LIMS2	60	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	68,248,57,74
FAM189A2	61	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	99,34,29,745
CLEC1A	62	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	255,154,184,10
RAMP3	63	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	105,39,105,197
FIGF	64	2	data3.tsv, data4.tsv	NA,NA,55,175
CCM2L	65	3	data2.tsv, data3.tsv, data4.tsv	NA,218,92,48
RTKN2	66	2	data2.tsv, data4.tsv	NA,96,NA,110
EPAS1	67	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	37,320,62,149
BTNL9	68	3	data2.tsv, data3.tsv, data4.tsv	NA,43,67,421
TGFBR3	69	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	32,171,166,147
VWF	70	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	19,188,402,102
KIAA1462	71	2	data1.tsv, data2.tsv	49,261,NA,NA
LINC00312	72	2	data1.tsv, data2.tsv	181,71,NA,NA
CAV2	73	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	106,330,72,66
DUOX1	74	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	18,83,236,498
DPEP2	75	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	65,98,218,129
SVEP1	76	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	63,99,319,89
ZNF106	77	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	66,147,71,262
GPM6B	78	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	48,825,40,124
SDPR	79	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	161,177,35,194
GKN2	80	3	data2.tsv, data3.tsv, data4.tsv	NA,9,809,226
