GeneID	Rank	FileCount	FileNames	GenePositions
AGER	1	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	7,3,7,3
FAM107A	2	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	1,4,51,18
EDNRB	3	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	5,30,1,15
CA4	4	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	4,6,9,47
PIR-FIGF	5	2	data1.tsv, data2.tsv	25,14,NA,NA
FABP4	6	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	20,78,45,1
TCF21	7	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	12,35,31,7
LOC401286	8	2	data3.tsv, data4.tsv	NA,NA,77,2
TEK	9	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	10,20,10,28
ADAMTS8	10	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	55,2,6,40
ITLN2	11	2	data3.tsv, data4.tsv	NA,NA,11,9
ADH1B	12	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	22,5,144,12
CD36	13	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	2,104,91,35
ACADL	14	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	31,10,13,56
SPTBN1	15	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	86,11,8,30
CLEC3B	16	2	data3.tsv, data4.tsv	NA,NA,20,16
JAM2	17	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	13,40,84,25
CDH5	18	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	6,103,28,51
PECAM1	19	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	15,290,96,13
GRK5	20	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	3,138,106,141
CAV1	21	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	39,196,49,14
HEG1	22	3	data1.tsv, data2.tsv, data4.tsv	91,384,NA,78
KANK3	23	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	129,64,14,26
