GeneID	Rank	FileCount	FileNames	GenePositions
AGER	1	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	7,3,7,3
FAM107A	2	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	1,4,51,18
EDNRB	3	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	5,30,1,15
CA4	4	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	4,6,9,47
FABP4	5	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	20,78,45,1
TCF21	6	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	12,35,31,7
TEK	7	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	10,20,10,28
ADAMTS8	8	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	55,2,6,40
ADH1B	9	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	22,5,144,12
CD36	10	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	2,104,91,35
ACADL	11	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	31,10,13,56
SPTBN1	12	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	86,11,8,30
JAM2	13	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	13,40,84,25
CDH5	14	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	6,103,28,51
PECAM1	15	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	15,290,96,13
GRK5	16	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	3,138,106,141
CAV1	17	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	39,196,49,14
KANK3	18	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	129,64,14,26
LDB2	19	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	26,127,141,19
FHL1	20	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	21,100,64,54
STX11	21	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	458,28,18,17
GDF10	22	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	248,21,12,59
