GeneID	Rank	Score	p.adjust	FileCount	FileNames	GenePositions
FABP4	1	5.07356671740233e-05	0.25	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	1,78,45,21
EDNRB	2	5.07356671740233e-05	0.25	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	15,30,1,5
FAM107A	3	5.07356671740233e-05	0.25	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	18,4,52,1
TNXB	4	5.07356671740233e-05	0.25	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	5153,1,12031,35
LOC401286	5	0.000101471334348047	0.25	2	gene1.txt, gene3.txt	2,NA,77,NA
SH3GL3	6	0.000101471334348047	0.25	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	5,1746,2,275
CD36	7	0.000101471334348047	0.25	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	35,104,90,2
ADAMTS8	8	0.000101471334348047	0.25	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	40,2,6,55
AGER	9	0.00015220700152207	0.272727272727273	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	3,3,7,7
GRK5	10	0.00015220700152207	0.272727272727273	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	140,138,106,3
FGFR4	11	0.00015220700152207	0.272727272727273	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	402,610,3,56
LYVE1	12	0.000202942668696093	0.285714285714286	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	4,175,233,97
CA4	13	0.000202942668696093	0.285714285714286	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	47,6,9,4
MME	14	0.000202942668696093	0.285714285714286	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	131,1635,4,659
ADH1B	15	0.000253678335870117	0.3125	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	12,5,144,22
MCEMP1	16	0.000253678335870117	0.3125	3	gene1.txt, gene2.txt, gene3.txt	86,29,5,NA
PYCR1	17	0.00030441400304414	0.333333333333333	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	6,292,16065,269
CDH5	18	0.00030441400304414	0.333333333333333	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	51,103,28,6
TCF21	19	0.000355149670218163	0.333333333333333	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	7,35,31,12
LRRC36	20	0.000355149670218163	0.333333333333333	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	640,7,304,146
FMO2	21	0.000405885337392187	0.333333333333333	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	8,157,151,138
SPTBN1	22	0.000405885337392187	0.333333333333333	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	30,11,8,86
VEPH1	23	0.000405885337392187	0.333333333333333	3	gene1.txt, gene2.txt, gene3.txt	1234,8,170,NA
NPR1	24	0.000405885337392187	0.333333333333333	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	17909,109,12107,8
ITLN2	25	0.00045662100456621	0.333333333333333	2	gene1.txt, gene3.txt	9,NA,11,NA
TEK	26	0.00045662100456621	0.333333333333333	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	28,20,10,9
GKN2	27	0.00045662100456621	0.333333333333333	3	gene1.txt, gene2.txt, gene3.txt	226,9,807,NA
