GeneID	Rank	FileCount	FileNames	GenePositions
AGER	1	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	7,3,7,3
EDNRB	2	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	5,30,1,15
FAM107A	3	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	1,4,51,18
CA4	4	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	4,6,9,47
ADAMTS8	5	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	55,2,6,40
TEK	6	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	10,20,10,28
FABP4	7	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	20,78,45,1
TCF21	8	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	12,35,31,7
ADH1B	9	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	22,5,144,12
ACADL	10	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	31,10,13,56
SPTBN1	11	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	86,11,8,30
CD36	12	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	2,104,91,35
CDH5	13	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	6,103,28,51
JAM2	14	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	13,40,84,25
KANK3	15	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	129,64,14,26
GDF10	16	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	248,21,12,59
STX11	17	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	458,28,18,17
SH3GL3	18	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	275,1747,2,5
CAV1	19	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	39,196,49,14
PECAM1	20	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	15,290,96,13
GRK5	21	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	3,138,106,141
STARD13	22	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	16,82,19,303
FHL1	23	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	21,100,64,54
LDB2	24	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	26,127,141,19
PTPRB	25	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	130,42,43,53
HIGD1B	26	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	11,150,95,95
LYVE1	27	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	97,175,233,4
FCN3	28	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	73,31,25,302
S1PR1	29	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	46,121,107,29
RGCC	30	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	78,116,109,22
ADARB1	31	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	41,106,94,55
SPOCK2	32	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	44,184,103,27
SLIT3	33	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	59,16,1187,20
EMCN	34	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	69,25,366,42
FMO2	35	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	138,157,151,8
TMEM100	36	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	111,85,17,159
FOXF1	37	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	23,120,33,297
TNNC1	38	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	84,23,52,306
RASIP1	39	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	30,208,21,246
ACVRL1	40	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	242,79,16,126
CLIC5	41	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	90,18,47,518
FGFR4	42	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	56,610,4,402
GPM6A	43	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	17,27,474,193
FXYD1	44	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	74,107,146,43
CLDN18	45	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	75,50,115,135
FHL5	46	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	60,59,221,91
LIMS2	47	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	68,248,57,74
FAM189A2	48	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	99,34,29,745
CLEC1A	49	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	255,154,184,10
RAMP3	50	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	105,39,105,197
EPAS1	51	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	37,320,62,149
TGFBR3	52	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	32,171,166,147
VWF	53	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	19,188,402,102
MCEMP1	54	3	data2.tsv, data3.tsv, data4.tsv	NA,29,5,86
CAV2	55	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	106,330,72,66
DUOX1	56	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	18,83,236,498
DPEP2	57	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	65,98,218,129
SVEP1	58	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	63,99,319,89
ZNF106	59	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	66,147,71,262
GPM6B	60	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	48,825,40,124
SDPR	61	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	161,177,35,194
LRRC36	62	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	146,7,305,639
CD93	63	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	50,295,208,72
SASH1	64	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	40,251,83,288
MFAP4	65	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	104,220,280,44
WWC2	66	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	199,45,60,577
AOC3	67	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	52,160,154,250
PKNOX2	68	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	109,639,30,164
ADAMTSL3	69	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	45,67,231,493
ABCA8	70	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	27,80,4980,33
TACC1	71	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	47,236,165,200
GSTM5	72	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	227,468,74,49
SGCG	73	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	279,241,163,36
RAMP2	74	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	29,434,102,324
CELF2	75	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	862,56,80,107
GPX3	76	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	95,377,46,254
CDO1	77	4	data1.tsv, data2.tsv, data3.tsv, data4.tsv	155,540,224,24
