GeneID	Rank	Score	p.adjust	FileCount	FileNames	GenePositions
AGER	1	6.36364075085435e-14	1.25427359199339e-09	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	3,3,7,7
TEK	2	1.62909203221871e-11	1.23160333252628e-07	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	28,20,10,9
EDNRB	3	1.87458650308414e-11	1.23160333252628e-07	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	15,30,1,5
TCF21	4	3.14318000953517e-11	1.54880194969846e-07	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	7,35,31,12
CA4	5	1.29331682060682e-10	5.09825490683207e-07	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	47,6,9,4
FAM107A	6	1.93787994719694e-10	6.36593562654196e-07	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	18,4,52,1
ADAMTS8	7	2.42529321723393e-10	6.42188079100618e-07	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	40,2,6,55
ACADL	8	2.60654725154994e-10	6.42188079100618e-07	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	56,10,13,31
FABP4	9	8.84235329990732e-10	1.9364753726797e-06	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	1,78,45,21
JAM2	10	1.31956454609716e-09	2.59777323726059e-06	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	25,40,84,13
SPTBN1	11	1.44979734195162e-09	2.59777323726059e-06	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	30,11,8,86
FHL1	12	2.44465623084821e-09	4.01534785916818e-06	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	54,100,64,20
CDH5	13	2.7580300222984e-09	4.03898992506803e-06	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	51,103,28,6
CD36	14	2.86889187980479e-09	4.03898992506803e-06	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	35,104,90,2
ADARB1	15	3.10060791551511e-09	4.07419880098685e-06	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	55,106,94,41
