GeneID	Rank	Score	p.adjust	FileCount	FileNames	GenePositions
AGER	1	9.12404551637489e-15	1.79834937127749e-10	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	3,3,7,7
EDNRB	2	1.77213215203665e-13	1.74643623583212e-09	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	15,30,1,5
FAM107A	3	3.67711623769952e-13	2.41586536816859e-09	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	18,4,52,1
CA4	4	5.36019452500118e-13	2.64123585219433e-09	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	47,6,9,4
TEK	5	1.4992655446221e-12	5.91010477690031e-09	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	28,20,10,9
ADAMTS8	6	1.93448317835634e-12	6.35477724090057e-09	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	40,2,6,55
TCF21	7	3.09290565735584e-12	8.70873864378336e-09	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	7,35,31,12
FABP4	8	5.43099367267182e-12	1.33806106610452e-08	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	1,78,45,21
ACADL	9	1.04476615892515e-11	2.28803788804607e-08	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	56,10,13,31
SPTBN1	10	1.37713320492208e-11	2.60891257918117e-08	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	30,11,8,86
ADH1B	11	1.45601412333805e-11	2.60891257918117e-08	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	12,5,144,22
CD36	12	3.78983033608002e-11	6.22479632701144e-08	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	35,104,90,2
JAM2	13	5.02847616749811e-11	7.62394348164521e-08	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	25,40,84,13
CDH5	14	5.81326136266572e-11	8.18424153272438e-08	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	51,103,28,6
STX11	15	1.69358167381669e-10	2.1631008558479e-07	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	17,28,18,458
KANK3	16	1.75594184137831e-10	2.1631008558479e-07	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	26,64,14,129
GRK5	17	1.99418617472481e-10	2.31208291198976e-07	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	140,138,106,3
FHL1	18	2.39860223673352e-10	2.6264694492232e-07	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	54,100,64,20
GDF10	19	2.63525016028607e-10	2.73372529785466e-07	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	59,21,12,248
CAV1	20	2.81012524771823e-10	2.76937843162632e-07	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	13,196,49,39
PTPRB	21	3.25890497667576e-10	3.0587150995371e-07	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	53,42,43,130
PECAM1	22	3.49445138873474e-10	3.07690899837688e-07	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	14,290,96,15
LDB2	23	3.59050770992736e-10	3.07690899837688e-07	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	19,127,141,25
STARD13	24	4.81309846799212e-10	3.88126248697625e-07	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	303,82,19,16
HIGD1B	25	5.29020507839235e-10	3.88126248697625e-07	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	95,150,95,10
SH3GL3	26	5.30565486375881e-10	3.88126248697625e-07	4	gene1.txt, gene2.txt, gene3.txt, gene4.txt	5,1746,2,275
